user_input,reference_contexts,reference,synthesizer_name
Quais seções do Relatório de Sustentabilidade 2023 abordam a Bioeconomia e sua relação com a inovação?,"['sumário\n01.  Mensagem da Liderança .........................................................3\n02. Sobre a Suzano ............................................................................5\n03.  Suzano e Sustentabilidade ..................................................16\n04.  Inovação para a Bioeconomia ...........................................29\n05.  O Clima e a Natureza .............................................................42\n06.  Cuidar das Pessoas e dos Direitos Humanos .................65\n07.  Governança, Conformidade e Ética ...................................91\n08. Anexos .....................................................................................106\n09. Créditos ...................................................................................124\nRelatório de Sustentabilidade 2023    2']","A seção que aborda a Bioeconomia e sua relação com a inovação é a seção 04, intitulada 'Inovação para a Bioeconomia', que começa na página 29 do Relatório de Sustentabilidade 2023.",single_hop_specifc_query_synthesizer
Qual a importãncia do eucalipto para a Suzano?,"['E\nm 2024, a Suzano celebra seu primeiro \ncentenário. Um marco que nos leva \na pensar com muito orgulho sobre a \nnossa trajetória e nos inspira a continuar \nplantando um futuro cada vez melhor . \nPassados 100 anos de muitos desafios, \naprendizados e conquistas, hoje somos \nreconhecidos como a maior produtora \nglobal de celulose e referência na fabricação \nde bioprodutos desenvolvidos a partir do \neucalipto, uma matéria-prima renovável, \nque cultivamos de maneira sustentável.  \nNosso centenário é um momento não só \npara refletirmos sobre a importância de \ntudo aquilo que realizamos, mas também \né uma ocasião oportuna para pensarmos \nno futuro e em como este legado ajudará a \ndefinir nossos próximos passos.\nDe forma ambidestra, trabalhamos \nno presente e olhamos para o futuro, \nbuscando soluções inovadoras e \nsustentáveis para renovar a vida. \nChegamos até aqui graças a um conjunto \nde fatores, como disciplina financeira, \nexpansão para novos mercados,']","O eucalipto é uma matéria-prima renovável que a Suzano cultiva de maneira sustentável e é fundamental para a fabricação de bioprodutos, além de ser um elemento central na sua trajetória como a maior produtora global de celulose.",single_hop_specifc_query_synthesizer
"Quais foram os principais avanços e objetivos da Suzano no ano de 2023, conforme descrito no relatório anual de sustentabilidade?","['buscando soluções inovadoras e \nsustentáveis para renovar a vida. \nChegamos até aqui graças a um conjunto \nde fatores, como disciplina financeira, \nexpansão para novos mercados, \ninvestimentos recorrentes para melhorar \nnossa competitividade e nossa obsessão \nem gerar e compartilhar valor com todos \nos nossos stakeholders .\nO ano de 2023 é mais uma parte \nimportante desta história. Este foi um \nperíodo de trabalho conjunto e muita \ndedicação dos nossos mais de 49 mil \ncolaboradores(as) próprios e terceiros. \nDemos passos importantes rumo ao \nfuturo, como o avanço do Projeto Cerrado. \nCom o início das operações previsto para o \nprimeiro semestre de 2024, nossa fábrica \nem Ribas do Rio Pardo, no Mato Grosso do \nSul, será a mais moderna e competitiva da \nhistória da Suzano. \nE o que queremos para o futuro? \nQueremos ser agentes da bioeconomia. \nEstar cada vez mais presentes no dia \na dia das pessoas com produtos que \nrepresentem alternativas viáveis de origem']","O ano de 2023 foi um período de trabalho conjunto e dedicação dos mais de 49 mil colaboradores da Suzano. Durante este ano, a empresa deu passos importantes rumo ao futuro, destacando o avanço do Projeto Cerrado, com o início das operações previsto para o primeiro semestre de 2024. A nova fábrica em Ribas do Rio Pardo, no Mato Grosso do Sul, será a mais moderna e competitiva da história da Suzano. A empresa também expressou o desejo de ser agentes da bioeconomia, buscando estar cada vez mais presentes no dia a dia das pessoas com produtos que representem alternativas viáveis de origem.",single_hop_specifc_query_synthesizer
Como a sociedade civil pode contribuir para a bioeconomia?,"['E o que queremos para o futuro? \nQueremos ser agentes da bioeconomia. \nEstar cada vez mais presentes no dia \na dia das pessoas com produtos que \nrepresentem alternativas viáveis de origem \nrenovável para atender às necessidades \nde uma sociedade confrontada com a \nemergência climática. Queremos também \ninspirar pelo exemplo mais pessoas e \nempresas a adotarem melhores práticas \npara a sociedade e para o planeta. \nQueremos ser parte da solução. \nPara tanto, precisamos ter humildade e \nresiliência, a fim de compreender bem os \ndesafios do presente e nos preparar para o \nque virá. Trabalhar em conjunto, entendendo \nque a agenda global de sustentabilidade \nnos pede colaboração e não competição. \nColaboração entre diversas partes, engajando \ndiferentes parceiros, sejam eles clientes, \nfornecedores, organizações internacionais, \ninstituições públicas ou sociedade civil.  \nE com uma governança robusta e atualizada, \nque é a base para o desenvolvimento \nde estratégias que nos levem com mais']","A sociedade civil pode contribuir para a bioeconomia ao colaborar com diversas partes, engajando diferentes parceiros, e adotando melhores práticas para a sociedade e para o planeta.",single_hop_specifc_query_synthesizer
Qual é a visão de David Feffer sobre a sustentabilidade e o futuro da Suzano?,"['diferenças, essa pluralidade de olhares, nos \nfortalecem para cumprir nosso propósito \nde “Renovar a vida a partir da árvore” , \nconstruindo caminhos mais sustentáveis \npara a regeneração do planeta. \nQuero também lembrar que tão importante \nquanto “o que” é o “como” cumprimos \no nosso propósito, o que se traduz no \nnosso jeito forte-e-gentil, forte em nossos \nresultados e Compromissos e gentil nas \nrelações com as pessoas e com a natureza. \nEntre muitos aprendizados, nossos \nprimeiros 100 anos evidenciaram \nnossa resiliência, demonstraram que \nsomos capazes de reunir inovação e \nsustentabilidade para entregar soluções \nmelhores e mais sustentáveis para a \nsociedade e para o planeta e nos provaram \nque temos expertise e muita garra para \nplantar um futuro melhor . Que venham os \npróximos 100 anos!\nDavid Feffer   \nPresidente do Conselho  \nde Administração da Suzano\nRelatório de Sustentabilidade 2023  Mensagem da liderança  3']","David Feffer, Presidente do Conselho de Administração da Suzano, enfatiza a importância de cumprir o propósito de 'Renovar a vida a partir da árvore', construindo caminhos mais sustentáveis para a regeneração do planeta. Ele destaca que tanto o 'o que' quanto o 'como' são fundamentais para alcançar esse propósito, refletindo um jeito forte-e-gentil, que é forte em resultados e compromissos, e gentil nas relações com as pessoas e com a natureza. Feffer também menciona que os primeiros 100 anos da empresa evidenciaram resiliência e a capacidade de reunir inovação e sustentabilidade para entregar soluções melhores e mais sustentáveis para a sociedade e o planeta, expressando otimismo para os próximos 100 anos.",single_hop_specifc_query_synthesizer
Qual é a mensagem do Presidente sobre o mercado de celulose?,"['Mensagem \ndo nosso \nPresidente\nGRI 2-22 E\nnfrentamos um cenário desafiador  \ndo mercado de celulose em 2023,  \ncom volatilidade nos preços e  \nvolumes menores. Ao mesmo tempo,  \nexecutamos um investimento recorde de \nR$ 18,2 bilhões em nossos projetos de \ncrescimento e modernização. O valor chega  \na R$ 51,2 bilhões desde 2019, quando \nrealizamos a fusão que deu origem à Suzano \nS.A. E só foi possível a partir do robusto balanço \nque temos de disciplina financeira e alocação \nde capital com foco na estratégia da empresa, \ne que nos leva, gradativamente, a gerar e \ncompartilhar valor com nossos stakeholders. \nNós dizemos, na Suzano, que somos como \numa startup de 100 anos – completados \nem janeiro de 2024 – e estamos \npermanentemente plantando o futuro.  \nTemos sólida experiência e presença no setor , \ne nosso espírito inovador nos guia para as \nmudanças que virão nas próximas décadas. \nTemos clareza de que não devemos nos limitar \nna busca por novos modelos de negócio,']","Mensagem do nosso Presidente GRI 2-22 E enfrentamos um cenário desafiador do mercado de celulose em 2023, com volatilidade nos preços e volumes menores. Ao mesmo tempo, executamos um investimento recorde de R$ 18,2 bilhões em nossos projetos de crescimento e modernização.",single_hop_specifc_query_synthesizer
Quais são os ODS mencionados no contexto?,"['e nosso espírito inovador nos guia para as \nmudanças que virão nas próximas décadas. \nTemos clareza de que não devemos nos limitar \nna busca por novos modelos de negócio, \nprodutividade e eficiência. Precisamos ser \ntambém impactantes para a sociedade.  \nA união entre inovação e sustentabilidade, \npilares que compõem o nosso DNA, nos \npermite desenvolver biossoluções para  \numa sociedade em transformação. \nNa ambição de sermos protagonistas \nem sustentabilidade, temos atuado para \nevoluir em nossos Compromissos para \nRenovar a Vida, que se desdobram em ações \nalinhadas ao Pacto Global e aos Objetivos de \nDesenvolvimento Sustentável (ODS), da ONU. \nÉ urgente frear as mudanças do clima. A \nsociedade está acordando para isso e nós temos \nconvicção de que somos parte da solução a \npartir de nossas florestas plantadas e da oferta \nde produtos renováveis em substituição aos de \norigem fóssil. \nEntre os nossos Compromissos, ainda \ndestacamos a retirada de pessoas da linha da']",Os Objetivos de Desenvolvimento Sustentável (ODS) da ONU são mencionados no contexto como parte dos compromissos da empresa para renovar a vida e atuar em sustentabilidade.,single_hop_specifc_query_synthesizer
Qual é a importância de Ribas do Rio Pardo para a empresa?,"['partir de nossas florestas plantadas e da oferta \nde produtos renováveis em substituição aos de \norigem fóssil. \nEntre os nossos Compromissos, ainda \ndestacamos a retirada de pessoas da linha da \npobreza, chegando a 51.883 pessoas entre  \n2020 e 2023.  É um tema relevante para nós  \ne muito sensível para o Brasil e, portanto,  \numa questão transformacional para as \ncomunidades onde estamos presentes. \nAvançamos nas obras do Projeto Cerrado,  \nem Ribas do Rio Pardo (MS), que seguiram \ndentro do cronograma para entrar em operação \nem 2024. Será nossa mais competitiva fábrica \nde celulose e a mais avançada em termos \nsocioambientais, permitindo mantermos a \nrelevância em celulose. E para sermos best-\nin-class na visão de custo, aceleramos nossa \natividade de plantio a um ritmo de 1,2 milhão  \nde mudas de eucalipto por dia, em média.\nTambém obtivemos sucesso em avançar  \nnos elos da cadeia, com a conclusão da compra  \nda unidade de tissue da Kimberly-Clark no']","Ribas do Rio Pardo é importante para a empresa porque é o local onde estão avançando as obras do Projeto Cerrado, que está dentro do cronograma para entrar em operação em 2024. Esta será a fábrica de celulose mais competitiva e avançada em termos socioambientais da empresa, permitindo manter a relevância no setor de celulose.",single_hop_specifc_query_synthesizer
"Qual a importância de Limeira, SP, para a nossa produção?","['de mudas de eucalipto por dia, em média.\nTambém obtivemos sucesso em avançar  \nnos elos da cadeia, com a conclusão da compra  \nda unidade de tissue da Kimberly-Clark no  \nBrasil. Incorporamos a marca Neve® e  \nanunciamos a construção de uma nova fábrica  \nde tissue em Aracruz (ES). \nEstamos preparados(as) para dar um salto \nna oferta da nossa Eucafluff®, com uma nova \nlinha em Limeira (SP), e avançar em iniciativas \nque substituem produtos de origem fóssil por \naqueles feitos a partir da fibra de eucalipto, \nrenovável. É o caso da nossa primeira operação \nindustrial fora do Brasil, a Woodspin, na \nFinlândia, capaz de produzir tecidos recicláveis \ne biodegradáveis, tendo como matéria-prima a \ncelulose microfibrilada (MFC). \nNossa competitividade é um forte \ndiferencial, o que representa nossa maior \nblindagem na preparação para o futuro e \nem nossa capacidade de oferecer soluções \nsustentáveis para a demanda da sociedade \nglobal. Continuamos a crescer , a gerar e']","Estamos preparados(as) para dar um salto na oferta da nossa Eucafluff®, com uma nova linha em Limeira (SP), e avançar em iniciativas que substituem produtos de origem fóssil por aqueles feitos a partir da fibra de eucalipto, renovável.",single_hop_specifc_query_synthesizer
Qual é o papel da Assembleia Geral Ordinária na transição de liderança da empresa?,"['blindagem na preparação para o futuro e \nem nossa capacidade de oferecer soluções \nsustentáveis para a demanda da sociedade \nglobal. Continuamos a crescer , a gerar e \ncompartilhar valor , num círculo virtuoso que \nvem transformando nossa companhia ao \nlongo desses 100 anos.  \nEm 1º de julho de 2024, depois de 11 anos, \ndeixo de ser o CEO e, após deliberação da \nAssembleia Geral Ordinária, devo passar a \ncompor o Conselho de Administração e Comitês \nde apoio da companhia. Com a conclusão do \nProjeto Cerrado, a Suzano entrará em uma nova \nfase, na qual acredito que possa contribuir mais \nem outra posição. A partir de abril daremos \ninício a uma fase de transição, para que, então, \nJoão Alberto Fernandez de Abreu assuma nossa \npresidência. E a ele desejo muito sucesso. \nEstou certo da continuidade de nossa \nevolução, e seguiremos juntos(as) nessa \njornada, com o espírito empreendedor , \naperfeiçoando a companhia todos os dias \npara termos impacto social, ambiental e']","A Assembleia Geral Ordinária é responsável pela deliberação sobre a transição de liderança, como no caso em que o CEO deixa o cargo e passa a compor o Conselho de Administração e Comitês de apoio da companhia.",single_hop_specifc_query_synthesizer
