user_input,reference_contexts,reference,synthesizer_name
Quais foram os principais resultados financeiros da Embraer em 2023?,"['O ano de 2023 foi marcante para a Embraer por representar \no início de um novo ciclo da história recente da empresa: ini-\nciamos uma nova fase focada no crescimento sustentável que \nvisa capturar todo o potencial da companhia.  Melhoramos \nnossa performance financeira de forma consistente, pavimen-\ntando o caminho para o crescimento em termos de receita e \nrentabilidade neste e nos próximos anos, apesar de ainda en-\nfrentarmos restrições significativas na cadeia de suprimentos \ne por conta da escalada de conflitos internacionais. \nEm 2023, fechamos o ano com uma receita acima de R$26,1 \nbilhões (US$5,3 bilhões), o que representa um crescimento de \n11% em relação a 2022, retornando ao patamar pré-pandemia. \nA margem EBITDA ajustada atingiu 10,6% e a geração de cai-\nxa livre sem Eve foi de R$1.434,8 milhões (US$318,3 milhões). \nA relação entre dívida líquida sem Eve e EBITDA ajustado foi \nreduzida para 1,4x, comparada a 3,4x em 2019 e a 20,7x em']","Em 2023, a Embraer fechou o ano com uma receita acima de R$26,1 bilhões (US$5,3 bilhões), representando um crescimento de 11% em relação a 2022. A margem EBITDA ajustada atingiu 10,6% e a geração de caixa livre sem Eve foi de R$1.434,8 milhões (US$318,3 milhões).",single_hop_specifc_query_synthesizer
"Quanto foi a quantia de US$318,3 milhões?","['xa livre sem Eve foi de R$1.434,8 milhões (US$318,3 milhões). \nA relação entre dívida líquida sem Eve e EBITDA ajustado foi \nreduzida para 1,4x, comparada a 3,4x em 2019 e a 20,7x em \n2020. Graças ao aumento das vendas, a carteira de pedidos \n(backlog) superou os níveis pré-pandemia e chegou a US$18,7 \nbilhões, o maior dos últimos 6 anos.\nO foco contínuo em eficiência empresarial e inovação, assim \ncomo o fortalecimento dos esforços de vendas, foram funda -\nSafety first.\nQuality always\nADMINISTRAÇÃO\nMENSAGEM DA\nmentais para atingir os expressivos resultados de 2023. Conta-\nmos também com o engajamento genuíno de todos os nossos \ncolaboradores para executar o plano estratégico com muita \ndisciplina e excelência.\nEm linha com a estratégia de crescimento, a atividade comer-\ncial se intensificou em todas as unidades de negócios, con-\ntinuamos a progredir em projetos inovadores importantes e \nseguimos avançando com os nossos compromissos relativos']","A quantia de US$318,3 milhões refere-se ao valor de R$1.434,8 milhões.",single_hop_specifc_query_synthesizer
Qual foi o desempenho das vendas do jato Praetor 500?,"['cial se intensificou em todas as unidades de negócios, con-\ntinuamos a progredir em projetos inovadores importantes e \nseguimos avançando com os nossos compromissos relativos \nàs questões ambientais, sociais e de governança (ESG).   \nNa Aviação Executiva, tivemos mais um ano de excelen-\nte performance com as vendas dos jatos Phenom e Praetor \nseguindo em ritmo acelerado. A NetJets assinou um acordo \npara encomendar até 250 jatos Praetor 500, juntamente com \num pacote abrangente de serviços e suporte, avaliado em \nmais de US$5,0 bilhões. O crescimento dos segmentos de \njatos executivos leves e médios reforçou a liderança da Em-\nbraer nessas categorias.\nO Phenom 300 foi o jato leve mais vendido e entregue da ca -\ntegoria pelo 12° ano consecutivo, e também se tornou o jato \nexecutivo mais voado dos Estados Unidos. No segmento de \nentrada, anunciamos o Phenom 100EX, a mais nova evolução \ndo jato que oferece conforto de cabine incomparável, versatili-']","As vendas dos jatos Praetor 500 seguiram em ritmo acelerado, com a NetJets assinando um acordo para encomendar até 250 jatos Praetor 500, juntamente com um pacote abrangente de serviços e suporte, avaliado em mais de US$5,0 bilhões.",single_hop_specifc_query_synthesizer
Quais são as implicações da presença do cargueiro militar C-390 Millennium entre os países da OTAN e seus aliados?,"['executivo mais voado dos Estados Unidos. No segmento de \nentrada, anunciamos o Phenom 100EX, a mais nova evolução \ndo jato que oferece conforto de cabine incomparável, versatili-\ndade operacional e aviônica aprimorada.\nNa área de Defesa & Segurança, consolidamos ainda mais \na presença do cargueiro militar C-390 Millennium entre os \npaíses da OTAN e seus aliados. Dois novos países europeus, \nÁustria e República Tcheca, selecionaram o C-390 para reno-\nvar suas frotas de transporte tático, somando-se a Portugal, \nHungria e Holanda. As atividades de vendas se intensificaram \ndevido ao interesse crescente pelo do jato multimissão em \npraticamente todos os continentes. No final do ano, a Coreia \ndo Sul também decidiu incorporar o C-390 à sua frota.\nExpandimos a base de clientes da Aviação Comercial, com \naumento das encomendas das aeronaves E190-E2 e E195-E2. \nAs companhias aéreas Scoot (Singapura), Royal Jordanian \n(Jordânia), SKS Airways (Malásia) e Luxair (Luxemburgo) anun-']","A presença do cargueiro militar C-390 Millennium entre os países da OTAN e seus aliados indica uma consolidação da sua utilização na defesa e segurança, com novos países europeus, como Áustria e República Tcheca, selecionando o C-390 para renovar suas frotas de transporte tático, além de Portugal, Hungria e Holanda já utilizarem o modelo. Isso reflete um interesse crescente pelo jato multimissão em praticamente todos os continentes.",single_hop_specifc_query_synthesizer
Qual é o papel da Binter no aumento das encomendas de aeronaves E190-E2 e E195-E2?,"['aumento das encomendas das aeronaves E190-E2 e E195-E2. \nAs companhias aéreas Scoot (Singapura), Royal Jordanian \n(Jordânia), SKS Airways (Malásia) e Luxair (Luxemburgo) anun-\nciaram pedidos para os E2, enquanto a Porter (Canadá), Binter \n(Espanha) e a empresa de arrendamento de aeronaves Azorra \nampliaram seus pedidos existentes. O E195-E2, o maior jato da \nfamília, recebeu a Certificação de Tipo da Administração de \nAviação Civil da China, a CAAC, abrindo uma nova oportuni-\ndade de inserção do produto naquele país.\n“Desde 2008, a Embraer é signatária e reafirma seu compromisso \ncom o pacto global da ONU. Em 2023, avançamos em nossa \njornada para uma economia de baixo carbono e uma empresa mais \ndiversa, mantendo o mais alto padrão em governança corporativa”.\nFrancisco Gomes Neto - Presidente da  Embraer']","A Binter, uma companhia aérea da Espanha, ampliou seus pedidos existentes de aeronaves E190-E2 e E195-E2, contribuindo para o aumento das encomendas dessas aeronaves.",single_hop_specifc_query_synthesizer
Quais foram as principais realizações do E175-E1 no segmento de aviação?,"['Já o E175-E1 manteve sua liderança no segmento com vendas \nadicionais para a American Airlines, para operação na subsi-\ndiária Envoy Air; a SkyWest, para operação na malha da Uni-\nted Airlines; e a Air Peace, maior companhia aérea da África \nOcidental. Foi apresentado em São José dos Campos, como \nparte do projeto P2F (Passenger-to-Freight), o 1° jato E190 da \ngeração E1 em processo de conversão para cargueiro. \nA área de Serviços & Suporte manteve o forte desempenho, \ncelebrando novos acordos e extensões dos programas Pool \ne de suporte logístico integrado, ao mesmo tempo em que \navançou na expansão de centros de treinamentos com no -\nvos simuladores de voo. Anunciamos também um acordo que \npermitirá dobrar a nossa capacidade de serviços de manu-\ntenção para os clientes da aviação executiva nos Estados \nUnidos, e seguimos avançando na preparação das instala -\nções do novo Centro de Serviço Autorizado na OGMA, em \nPortugal, dedicado aos motores GTF da Pratt & Whitney, e']","O E175-E1 manteve sua liderança no segmento com vendas adicionais para a American Airlines, para operação na subsidiária Envoy Air; a SkyWest, para operação na malha da United Airlines; e a Air Peace, maior companhia aérea da África Ocidental. Além disso, foi apresentado em São José dos Campos como parte do projeto P2F (Passenger-to-Freight), o 1° jato E190 da geração E1 em processo de conversão para cargueiro.",single_hop_specifc_query_synthesizer
"Como a Pratt & Whitney está contribuindo para a inovação na aviação, especialmente em relação à transição para uma aviação com emissões zero?","['Unidos, e seguimos avançando na preparação das instala -\nções do novo Centro de Serviço Autorizado na OGMA, em \nPortugal, dedicado aos motores GTF da Pratt & Whitney, e \nque será inaugurado neste ano. \nNa área de inovação, outro pilar da nossa estratégia, estamos \ninvestindo fortemente em diversas frentes para impulsionar a \ntransição para uma aviação com emissões zero no futuro. No \nano passado, por exemplo, criamos a Nidec Aerospace, uma \njoint-venture com a japonesa Nidec, líder global em motores \nelétricos, para combinar nossas expertises e fornecer siste -\nmas de propulsão elétricos para a indústria aeroespacial. \nTambém tivemos avanços no programa do eVTOL da Eve, com \na definição dos principais fornecedores do veículo e do lo -\ncal da primeira fábrica de veículos elétricos de pouso e de -\ncolagem vertical no Brasil, que será na nossa unidade em \nTaubaté (SP). A Eve continua avançando no desenvolvimento \ndas soluções para o mercado de Mobilidade Aérea Urbana']","A Pratt & Whitney está contribuindo para a inovação na aviação através do novo Centro de Serviço Autorizado na OGMA, em Portugal, dedicado aos motores GTF, que será inaugurado neste ano. Além disso, a empresa está investindo fortemente em diversas frentes para impulsionar a transição para uma aviação com emissões zero, como a criação da Nidec Aerospace, uma joint-venture com a Nidec, para fornecer sistemas de propulsão elétricos para a indústria aeroespacial.",single_hop_specifc_query_synthesizer
Qual é o papel do UATM no mercado de Mobilidade Aérea Urbana?,"['colagem vertical no Brasil, que será na nossa unidade em \nTaubaté (SP). A Eve continua avançando no desenvolvimento \ndas soluções para o mercado de Mobilidade Aérea Urbana \n(UAM), que inclui um sistema de controle de tráfego aéreo \n(UATM) para os eVTOLs e uma rede global de serviços e su-\nporte. A Eve encerrou 2023 com 29 clientes de eVTOL, com \npedidos potenciais para 2.850 veículos, em um valor estima -\ndo de US$8,6 bilhões, o maior backlog da indústria, além de \n14 clientes para seu sistema de UATM e 10 clientes para sua \nsolução de serviços e operações.\nO fortalecimento da cultura interna tem sido um dos dife -\nrenciais da Embraer para viabilizar o plano de crescimento, \ncriando um ambiente de trabalho mais diverso, inclusivo e \ncolaborativo, priorizando sempre qualidade e segurança. Um \nbom exemplo de colaboração e do espírito “One Embraer” vem \ndo nosso departamento de Engenharia, que atua de forma in-\ntegrada para permitir a troca de conhecimento e tecnologia']","O UATM é um sistema de controle de tráfego aéreo para os eVTOLs, que faz parte das soluções que a Eve está desenvolvendo para o mercado de Mobilidade Aérea Urbana.",single_hop_specifc_query_synthesizer
Quais foram os avanços em sustentabilidade na aviação em 2023?,"['bom exemplo de colaboração e do espírito “One Embraer” vem \ndo nosso departamento de Engenharia, que atua de forma in-\ntegrada para permitir a troca de conhecimento e tecnologia \nentre as diferentes unidades de negócio, e superar os desafios \ntecnológicos inerentes da indústria aeroespacial e de defesa. \nEm 2023, também avançamos no compromisso de promover \numa aviação mais sustentável. Os jatos Phenom 300E e o \nPraetor 600 realizaram com sucesso voos de teste utilizando \ncombustível de aviação 100% sustentável (SAF 100%) e jun-\ntam-se agora ao E195-E2, que havia realizado testes similares \nem 2022, como parte da nossa meta de adequar todo o portfó-\nlio de aeronaves comerciais e executivas ao uso de SAF 100% \naté 2030.  \nAlém disso, a American Airlines e Air New Zealand passaram a \nintegrar o grupo consultivo do Projeto Energia, somando-se à \nampla colaboração que busca definir e estabelecer requisitos \nde sustentabilidade para o transporte aéreo comercial basea-']","Em 2023, a Embraer avançou no compromisso de promover uma aviação mais sustentável, com os jatos Phenom 300E e o Praetor 600 realizando voos de teste utilizando combustível de aviação 100% sustentável (SAF 100%). Esses jatos se juntaram ao E195-E2, que havia realizado testes similares em 2022, como parte da meta de adequar todo o portfólio de aeronaves comerciais e executivas ao uso de SAF 100% até 2030.",single_hop_specifc_query_synthesizer
Quais são as expectativas da Embraer para o ano de 2024 em relação ao seu crescimento e sustentabilidade?,"['integrar o grupo consultivo do Projeto Energia, somando-se à \nampla colaboração que busca definir e estabelecer requisitos \nde sustentabilidade para o transporte aéreo comercial basea-\ndos na visão de operadores.\nEssas realizações são alguns destaques entre as diversas ini-\nciativas das várias áreas da empresa em nossa jornada que \nune crescimento rentável e a transição para uma economia de \nbaixo carbono. Por isso, aproveitamos para agradecer toda a \nequipe da Embraer, que sempre demonstra total comprometi-\nmento, foco e competência na execução do nosso plano estra-\ntégico. Também gostaríamos de agradecer toda a confiança e \nsuporte contínuo dos nossos clientes, parceiros e investidores. \nNeste ano de 2024, vamos celebrar o 55° aniversário da Em-\nbraer prontos para colher os resultados do trabalho dos últi-\nmos anos e crescer de forma rentável. Continuamos confian-\ntes na nossa estratégia de crescimento e geração de valor para']","Neste ano de 2024, a Embraer espera celebrar o 55° aniversário da empresa, prontos para colher os resultados do trabalho dos últimos anos e crescer de forma rentável. A empresa continua confiante na sua estratégia de crescimento e geração de valor, unindo crescimento rentável e a transição para uma economia de baixo carbono.",single_hop_specifc_query_synthesizer
