user_input,reference_contexts,reference,synthesizer_name
Quais informações podem ser encontradas no Relatório de Sustentabilidade de 2022 da PETROBRAS que são relevantes para a análise socioambiental?,['PETROBRAS   | Relatório de Sustentabilidade | 2022  1 \n \n \n  \n \n \n \nRelatório \nde Sustentabilidade \n2022 \n—'],"O Relatório de Sustentabilidade de 2022 da PETROBRAS contém informações que podem ser relevantes para a análise socioambiental, embora o conteúdo específico não esteja detalhado no contexto fornecido.",single_hop_specifc_query_synthesizer
Qual é a seção do relatório de sustentabilidade da PETROBRAS que aborda a biodiversidade?,"['PETROBRAS   | Relatório de Sustentabilidade | 2022  2 \n \n   \n \nSumário \nMensagem do presidente 3 \nSobre o relatório 6 \nQuem somos 8 \nMaterialidade 12 \nEngajamento com stakeholders 21 \nGerenciamento de riscos e governança corporativa 31 \nEstratégia e desempenho em sustentabilidade 48 \nGovernança 58 \nImpactos econômicos 59 \nIntegridade nos negócios 74 \nMeio ambiente 96 \nResiliência climática, emissões de GEE e outros gases 97 \nPrevenção e gestão de acidentes 121 \nBiodiversidade 132 \nÁgua e efluentes 149 \nGestão de resíduos e descomissionamento 162 \nSocial 174 \nComunidades locais e tradicionais 175 \nPráticas trabalhistas e igualdade de oportunidades 189 \nSegurança, saúde e bem-estar 217 \n \nPrincipais associações 229 \nDoações 231 \nTreinamentos em segurança e saúde 238 \nRelatório de asseguração limitada dos auditores 243 \nSumário de conteúdo GRI 246 \nSumário de conteúdo SASB 265 \nExpediente 268']",A seção do relatório de sustentabilidade da PETROBRAS que aborda a biodiversidade está localizada na página 132.,single_hop_specifc_query_synthesizer
Qual foi o valor investido pela Petrobras em projetos sociais e ambientais voluntários em 2022?,"['PETROBRAS   | Relatório de Sustentabilidade | 2022  3 \nMensagem do presidente \n[2-22] \nMensagem do presidente  \n \nA Petrobras tem entre suas premissas comunicar com clareza, objetividade e transparência as informações \nrelativas à contribuição da empresa em projetos de sustentabilidade. Assim, o Relatório de Sustentabilidade \n2022 traz nossa estratégia, compromissos, metas, indicadores, desempenho e práticas ambientais, sociais \ne de governança (ASG).  \nEm 2022, a contribuição da Petrobras à sociedade com remunerações a empregados, tributos, fornecedores, \ninstituições financeiras e acionistas, foi de R$ 483 bilhões. Adicionalmente, foram empregados valores na \nordem de R$ 121 milhões em projetos sociais e ambientais voluntários, R$ 462 milhões em program as \nsociais e ambientais relacionados a condicionantes de licenciamento, R$ 32 milhões em projetos culturais e \nesportivos, além de doações que somam R$ 272 milhões para auxílio a famílias em situação de \nvulnerabilidade social.']","Em 2022, a Petrobras empregou R$ 121 milhões em projetos sociais e ambientais voluntários.",single_hop_specifc_query_synthesizer
Quais são as diretrizes de direitos humanos da Petrobraz?,"['esportivos, além de doações que somam R$ 272 milhões para auxílio a famílias em situação de \nvulnerabilidade social. \nA publicação das Diretrizes de Direitos Humanos na Petrobras, a constituição da Comissão de Direitos \nHumanos e o estabelecimento de compromiss os específicos sobre o tema no plano estratégico \ninauguraram um novo modo de agir  da empresa . No início de 2023, publicamos nosso posicionamento \nvoltado a promover a diversidade e a combater rigorosamente o assédio e a discrimina ção. E os primeiros \npassos para isso já foram dados com o estabelecimento do Programa Petrobras Contra a Violência Sexual. \nEsse é nosso objetivo, e reconhecemos que temos muito a avançar. \nA saúde e o bem-estar das pessoas, a proteção do meio ambiente e a segurança nas operações são valores \ninegociáveis e estiveram presentes nas atividades desenvolvidas ao longo de 2022, em alinhamento com as']","A publicação das Diretrizes de Direitos Humanos na Petrobras, a constituição da Comissão de Direitos Humanos e o estabelecimento de compromissos específicos sobre o tema no plano estratégico inauguraram um novo modo de agir da empresa.",single_hop_specifc_query_synthesizer
Quais foram os principais eventos em 2022?,"['inegociáveis e estiveram presentes nas atividades desenvolvidas ao longo de 2022, em alinhamento com as \nambições de zero fatalidade e zero vazamento. Nesse sentido, a Petrobras busca atuar de forma constante \npara permanecer entre as principais referências de segurança do setor no mundo. Em 2022, obtivemos uma \nTaxa de Acidentados Registráveis (TAR) de 0,68, o que representou uma subida de 0,14 em relação ao ano \nanterior. Ainda assim, ficamos abaixo do limite de alerta de 0,7 definido pela companhia para o ano. Porém, \ncom profundo pesar, lamentamos a ocorrência de cinco fatalidades em 2022, as quais passaram por um \nrigoroso processo de análise e aprendizado com o objetivo de continuar aprimorando nossos processos para \ntorná-los cada vez mais seguros e resilientes. Nesse aspecto destacamos a Jornada de Fatores Humanos, \nna qual o fortalecimento da escuta ativa da força de trabalho proporciona o aprendizado com o trabalho']","Em 2022, a Petrobras obteve uma Taxa de Acidentados Registráveis (TAR) de 0,68, que representou uma subida de 0,14 em relação ao ano anterior. Lamentamos a ocorrência de cinco fatalidades em 2022, que passaram por um rigoroso processo de análise e aprendizado.",single_hop_specifc_query_synthesizer
como a Petrobras melhora a segurança?,"['na qual o fortalecimento da escuta ativa da força de trabalho proporciona o aprendizado com o trabalho \ndiário e, de forma proativa e preventiva, a melhoria contínua dos nossos processos e o fortalecimento da \nnossa cultura de segurança, meio ambiente e saúde. \nO aprimoramento da integridade e confiabilidade das instalações e a melhoria dos processos têm sido uma \nbusca constante na Petrobras e, como resultado, nos últimos cinco anos, os acidentes de segurança de \nprocesso foram re duzidos em mais da metade . Em 2022, foram registrados nove eventos envolvendo \nvazamento de petróleo e derivados com volume superior a um barril. Felizmente, a estrutura de resposta \nintegrada para o atendimento às emergên cias possibilitou que ações rápidas e eficazes fossem tomadas \npara a prevenção e mitigação dos impactos desses eventos acidentais.  \nEm reconhecimento  à urgência climática, por mais de uma década a Petrobras trabalha na descarbonização']","A Petrobras tem buscado aprimorar a integridade e confiabilidade das instalações e a melhoria dos processos, resultando na redução de acidentes de segurança de processo em mais da metade nos últimos cinco anos.",single_hop_specifc_query_synthesizer
Quais foram as reduções nas emissões operacionais de Gases de Efeito Estufa pela Petrobras entre 2015 e 2022?,"['para a prevenção e mitigação dos impactos desses eventos acidentais.  \nEm reconhecimento  à urgência climática, por mais de uma década a Petrobras trabalha na descarbonização \ndas operações, assegurando uma trajetória robusta de redução de emissões operacionais. Além das \nmelhorias já obtidas ao longo dos anos, temos a ambição de atingir a neutralidade de emissões operacionais \naté 2050.  Entre 2015 e 202 2, as emissões absolutas operacionais de Gases de Efeito Estufa (GEE) caíram \n39% e avançamos na eficiência em emissões em todos os segmentos onde atuamos. A partir de 2023, \npretendemos expandir ainda mais nossa atuação em negócios de baixo carbono, de senvolvendo \noportunidades de novos negócios em CCUS ( carbon capture, utilisation and storage ), energia renovável, \nhidrogênio e biorrefino, bem como promovendo soluções baseadas na natureza que mitiguem as mudanças \nclimáticas, em especial a preservação e a ampliação de florestas.']","Entre 2015 e 2022, as emissões absolutas operacionais de Gases de Efeito Estufa (GEE) caíram 39% e a Petrobras avançou na eficiência em emissões em todos os segmentos onde atuam.",single_hop_specifc_query_synthesizer
Quais foram os investimentos da PETROBRAS em projetos de sustentabilidade em 2022?,"['PETROBRAS   | Relatório de Sustentabilidade | 2022  4 \nMensagem do presidente \nEm cumprimento a condicionantes de licenças, 65 áreas protegidas foram fortalecidas, por meio de aporte \nno Fundo de Compensação Ambiental, no valor de R$ 66,5 milhões. Investimos também cerca de R $ 95 \nmilhões em projetos de pesquisa e desenvolvimento de soluções tecnológicas visando promover a melhoria \nda gestão da biodiversidade e dos recursos hídricos e efluentes, bem como a minimização, valorização e o \nreaproveitamento de resíduos sólidos. Nos últimos três anos, reduzimos em mais de 20% a captação de água \ndoce de nossas operações e reduzimos em torno de 18% a geração de resíduos de processo . Em 2022, \natingimos também o patamar de 76% de reutilização e reciclagem dos resíduos destinados. Nossos Planos \nde Ação em Biodiversidade, em elaboração para todas nossas instalações, visam a melhoria da \nbiodiversidade em nossas áreas de atuação e já estamos desenvolvendo metodologias para a avaliação do']","Em 2022, a PETROBRAS investiu cerca de R$ 95 milhões em projetos de pesquisa e desenvolvimento de soluções tecnológicas visando promover a melhoria da gestão da biodiversidade e dos recursos hídricos e efluentes, bem como a minimização, valorização e o reaproveitamento de resíduos sólidos.",single_hop_specifc_query_synthesizer
Qual é a importância do Indicador de Governança para a Petrobras e como ele se relaciona com a sustentabilidade?,"['de Ação em Biodiversidade, em elaboração para todas nossas instalações, visam a melhoria da \nbiodiversidade em nossas áreas de atuação e já estamos desenvolvendo metodologias para a avaliação do \nganho líquido em biodiversidade. \n \nNão existe geração de valor sem cuidar das pessoas e sem pensar em \nnosso impacto no mundo.  \nEssa é a verdadeira sustentabilidade. \n \nEm linha com o aprimoramento contínuo da transparência e da governança, em 2022, a Petrobras aprovou \numa nova Política Tributária e a Diretriz de Formação de Preços de Derivados de Petróleo e Gás Natural no \nMercado Interno. E, em 2023, aprovamos a nova estratégia comercial para definição de preços de gasolina \ne diesel, alinhada à diretriz supracitada. Nossos esforços de governança têm sido reconhecidos e, pela sexta \nvez consecutiva, fomos certificados no Indicador de Governança da Secretaria de Coordenação e \nGovernança das Empresas Estatais (IG-SEST), alcançando classificação no melhor nível do indicador.']","O Indicador de Governança é importante para a Petrobras pois reflete os esforços da empresa em aprimorar a transparência e a governança. Em 2022, a Petrobras aprovou uma nova Política Tributária e diretrizes para a formação de preços, e em 2023, uma nova estratégia comercial para definição de preços de gasolina e diesel. Esses esforços de governança foram reconhecidos, resultando na certificação no Indicador de Governança da Secretaria de Coordenação e Governança das Empresas Estatais (IG-SEST), alcançando a classificação no melhor nível do indicador. Isso demonstra que a geração de valor está ligada ao cuidado com as pessoas e ao impacto no mundo, que é a verdadeira sustentabilidade.",single_hop_specifc_query_synthesizer
O que aconteceu em abril de 2023?,"['vez consecutiva, fomos certificados no Indicador de Governança da Secretaria de Coordenação e \nGovernança das Empresas Estatais (IG-SEST), alcançando classificação no melhor nível do indicador.  \nPelo segundo ano consecutivo, integramos o Dow Jones Sustainability Index WorldTM, com nota máxima nos \ncritérios de Relatório Ambiental, Riscos Relacionados à Água e Relatório Social e destaque nos critérios de \nEcoeficiência Operacional, Práticas Trabalhistas e Direitos Humanos.  \nAcompanhando as grandes tr ansformações do mundo , principalmente as mudanças nos segmentos de \nenergia, digital, social e ambiental, a Petrobras está at ravessando uma fase de mudanças e novas \nperspectivas. Em abril de 2023, aprovamos a nossa nova estrutura organizacional . A nova composição de \náreas visa preparar a companhia para a transição energética, fortalece r a área de desenvolvimento de \nprojetos por meio de uma maior integração com a área de pesquisa e desenvolvimento e aumentar a sinergia']","Em abril de 2023, aprovamos a nossa nova estrutura organizacional. A nova composição de áreas visa preparar a companhia para a transição energética, fortalecer a área de desenvolvimento de projetos por meio de uma maior integração com a área de pesquisa e desenvolvimento e aumentar a sinergia.",single_hop_specifc_query_synthesizer
