user_input,reference_contexts,reference,synthesizer_name
Quais são os destaques sobre diversiddae no relatório?,"['Sumário\nDestaques Manifesto Prazer , somos a Globo Governança ESG \nDiversidade  \n& inclusão\nBiodiversidade \n& consciência \nambiental\nGovernança \ntransparente  \n& responsável\nEducação como vetor \nde transformação  \ndo país\nDesenvolvimento  \n& bem-estar dos  \ncolaboradores\nImpacto social \ndo conteúdo\nSobre este relatório Caderno de indicadores']","Os destaques sobre diversidade no relatório incluem a ênfase em diversidade e inclusão, que é um dos principais pontos abordados no sumário.",single_hop_specifc_query_synthesizer
Qual é a importância do Globoplay no relatório anual de sustentabilidade da TV Globo?,"['compromisso de contribuir para as metas da \nAgenda 2030 das Nações Unidas.\nNosso relatório é anual, e os dados que \napresentamos nesta edição são referentes ao \nperíodo de 1º de janeiro a 31 de dezembro de 2023 \nabrangendo a TV Globo (canal aberto), os 20 canais \npor assinatura, nossas plataformas digitais (g1, ge, \ngshow e Cartola) e o Globoplay (streaming). Nós \ntambém divulgamos Demonstrações Financeiras \nque são auditadas pela EY . A lista de entidades \nincluídas nesses relatos financeiros é a mesma das \nincluídas nos relatos de sustentabilidade.\nPara enviar comentários ou sugestões, entre em \ncontato com ir@g.globo.\nO Relatório ESG 2023 \napresenta nosso \ndesempenho socioambiental \ne relacionado à governança. \nO conteúdo dialoga, \natravés dos nossos seis \ncompromissos, com as partes \ninteressadas refletidas em \nnossa materialidade.\nAssegurado pela Bureau V eritas, \nnosso relatório está em conformidade \ncom as Normas Universais da GRI \n2021, além do standard para mídia']","O Globoplay é mencionado no relatório anual de sustentabilidade da TV Globo como parte das plataformas digitais que abrangem o período de 1º de janeiro a 31 de dezembro de 2023, juntamente com outros canais e plataformas da empresa.",single_hop_specifc_query_synthesizer
Quais são os Objetivos de Desenvolvimento Sustentável mencionados no relatório?,"['interessadas refletidas em \nnossa materialidade.\nAssegurado pela Bureau V eritas, \nnosso relatório está em conformidade \ncom as Normas Universais da GRI \n2021, além do standard para mídia \ne entretenimento do Sustainability \nAccounting Standard Board (SASB).\nNossos temas materiais também \nforam relacionados aos Objetivos de \nDesenvolvimento Sustentável (ODS)  \nda Agenda 2030 da Organização das \nNações Unidas, como temos feito \nnos últimos anos diante do nosso \nSobre este relatório\nGRI 2-2| GRI 2-3| GRI 2-5\n3\nRelatório ESG 2023\nDestaques Sobre  \neste relatório Indicadores #1 Impacto social  \n  do conteúdo\n #2 Diversidade  \n  & inclusão\n #4 Biodiversidade &  \n  consciência ambiental\n #5  Governança transparente  \n  & responsável\n #6 Educação como vetor  \n  de transformação do paísGovernança ESGPrazer , somos  \na Globo\nManifesto \nGlobo\n #3 Desenvolvimento & bem \n - estar dos colaboradores\nem validação']","Os Objetivos de Desenvolvimento Sustentável (ODS) da Agenda 2030 da Organização das Nações Unidas estão relacionados aos temas materiais abordados no relatório, como impacto social, diversidade e inclusão, biodiversidade e consciência ambiental, governança transparente e responsável, e educação como vetor de transformação do país.",single_hop_specifc_query_synthesizer
Qual é a importância do GHG Protocol para a Globo?,"['Destaques\nMinutagem  \ndo Jornalismo\n57 .692 minutos de \nreportagens sobre temas \nambientais e 11.484 \nminutos sobre educação\nBem-estar dos \ncolaboradores\nAmpliamos para 52 o número \nde sessões de psicoterapia \npara nossos colaboradores \ne o auxílio creche e babá \nagora é disponível também \npara os pais\nFutebol feminino\n64 milhões de  \npessoas alcançadas  \nna Copa do Mundo Feminina \nde futebol\nSelo Ouro do GHG \nProtocol\nA Globo é a única empresa \nbrasileira de comunicação \ne mídia que ganhou o Selo \nOuro do GHG Protocol, pelo \ninventário completo de emissões \nde gases de efeito estufa\nProtagonismo \nnegro\nChegamos a ter , no \nmesmo período, todas as \nnovelas protagonizadas \npor pessoas negras, pela \nprimeira vez na nossa \nhistória\nConscientização \ninterna\n12 mil pessoas  \nforam treinadas em  \ntemas sensíveis do  \nCódigo de Ética\nDiversidade  \nnas equipes\n72% das contratações  \nao longo de 2023 foram  \nde grupos priorizados  \npela Companhia\nEduca 2030\nGlobo assume o papel']","A Globo é a única empresa brasileira de comunicação e mídia que ganhou o Selo Ouro do GHG Protocol, pelo inventário completo de emissões de gases de efeito estufa.",single_hop_specifc_query_synthesizer
Quais são os principais temas abordados pela Companhia Educa 2030?,"['temas sensíveis do  \nCódigo de Ética\nDiversidade  \nnas equipes\n72% das contratações  \nao longo de 2023 foram  \nde grupos priorizados  \npela Companhia\nEduca 2030\nGlobo assume o papel \nde embaixadora junto ao \nPacto Global da ONU\nDestaques Sobre  \neste relatório Indicadores #1 Impacto social  \n  do conteúdo\n #2 Diversidade  \n  & inclusão\n #4 Biodiversidade &  \n  consciência ambiental\n #5  Governança transparente  \n  & responsável\n #6 Educação como vetor  \n  de transformação do paísGovernança ESGPrazer , somos  \na Globo\nManifesto \nGlobo\n #3 Desenvolvimento & bem \n - estar dos colaboradores\nem validação']","Os principais temas abordados pela Companhia Educa 2030 incluem impacto social do conteúdo, diversidade e inclusão, biodiversidade e consciência ambiental, governança transparente e responsável, e educação como vetor de transformação do país.",single_hop_specifc_query_synthesizer
Quais foram os impactos da Copa do Mundo Feminina de 2023 em termos de audiência e promoção do futebol feminino?,"['mostrando o quanto avançamos \nnos três pilares – ambiental, social e \ngovernança – e apontando para onde \nqueremos chegar até 2030. \nUma jornada feita de histórias, como \nnão poderia deixar de ser . Contadas \ntodos os dias por nosso Jornalismo, \nque em 2023 dedicou 99. 127 minutos \na reportagens de temas sociais e \nambientais, o equivalente a quase 70 \ndias inteiros de programação apenas \nsobre esses assuntos. O Esporte abriu \nainda mais espaço para o Futebol \nFeminino e, com um número recorde de \njogos transmitidos, transformamos a \nCopa do Mundo Feminina de 2023 na \nmais assistida da história, superando \n64 milhões de pessoas alcançadas. \nNo Entretenimento, foram criados \nos gêneros de auditório e humor e o \nnúcleo de filmes nos Estúdios Globo. \nMudanças que fortalecem, ainda mais, \nas histórias originalmente brasileiras e \nque valorizam nossos talentos, tendo \na diversidade e a equidade de gênero \ncomo uma das diretrizes das nossas \nescolhas. \nEsse trabalho tem deixado as']","A Copa do Mundo Feminina de 2023 se tornou a mais assistida da história, alcançando mais de 64 milhões de pessoas, o que demonstra um aumento significativo no espaço aberto para o Futebol Feminino e um recorde no número de jogos transmitidos.",single_hop_specifc_query_synthesizer
Qual é o foco da Agenda ESG da Globo?,"['as histórias originalmente brasileiras e \nque valorizam nossos talentos, tendo \na diversidade e a equidade de gênero \ncomo uma das diretrizes das nossas \nescolhas. \nEsse trabalho tem deixado as \nproduções Globo e a própria empresa \nFazer Diferença T odo Dia. É isso que \nmove a Globo e todos que trabalham \ncom ela. Dizemos que a Agenda ESG da \nGlobo não é sobre a Globo, mas sobre \no grande potencial transformador das \nconversas que nosso conteúdo provoca \ne de tudo que fazemos, por trás das \ncâmeras. Conversamos com milhões \nde brasileiros, todos os dias, há quase \n60 anos. Responsabilidade proporcional \nà oportunidade de contribuir para \numa sociedade cada vez mais justa e \nsustentável. \nEm 2023, divulgamos metas para cada \num dos seis compromissos, alinhados \naos ODS (Objetivos do Desenvolvimento \nSustentável). Neste relatório, \nreportamos os status dessas metas, \nUma jornada coletiva \ne contínua \ncada vez mais com a cara do Brasil: \naumentamos em 10% o número de']","A Agenda ESG da Globo não é sobre a Globo, mas sobre o grande potencial transformador das conversas que seu conteúdo provoca e de tudo que fazem, por trás das câmeras. Ela busca contribuir para uma sociedade cada vez mais justa e sustentável, com responsabilidade proporcional à oportunidade.",single_hop_specifc_query_synthesizer
Quais são os principais avanços reportados no Guia Produções Verdes em relação à sustentabilidade?,"['Sustentável). Neste relatório, \nreportamos os status dessas metas, \nUma jornada coletiva \ne contínua \ncada vez mais com a cara do Brasil: \naumentamos em 10% o número de \natores e atrizes negros no elenco \nprincipal de nossa dramaturgia e 72% \nde nossas contratações foram de \ngrupos sub-representados. Tivemos \nquase 40 mil acessos apenas na \nsemana de lançamento do Portal de \nBoa, que concentra as informações \nsobre benefícios da empresa. Entre \neles, destacamos o aumento de 13 \npara 52 sessões de terapia gratuitas \npor ano para cada colaborador , com \nfoco na saúde mental das pessoas \nque trabalham na Globo.\nEm nosso compromisso de \nsustentabilidade, muitos avanços: o \nlançamento do Guia Produções V erdes, \no aumento para 99,5% de consumo \nde energia de fontes renováveis e a \nnossa associação ao CEBDS e ao \nMovimento NetZero, do Pacto Global. \nNa área de educação, evoluímos com \no Movimento LED, que teve mais de \n3.300 projetos inscritos no Prêmio e']","No Guia Produções Verdes, destacamos o aumento para 99,5% de consumo de energia de fontes renováveis e a nossa associação ao CEBDS e ao Movimento NetZero, do Pacto Global, como parte dos avanços em nosso compromisso de sustentabilidade.",single_hop_specifc_query_synthesizer
Qual é o papel do Movimento Manifesto Globo na educação?,"['nossa associação ao CEBDS e ao \nMovimento NetZero, do Pacto Global. \nNa área de educação, evoluímos com \no Movimento LED, que teve mais de \n3.300 projetos inscritos no Prêmio e \nno Desafio LED e um público recorde \nno Festival, com mais de 6 mil pessoas \npresentes. Em novembro, a Globo se \ntornou embaixadora do Movimento \nManifesto \nGlobo\nEduca 2030, do Pacto Global, assumindo \nprotagonismo no movimento de liderar \numa ação coletiva em prol da educação.\nEm busca de uma governança \ntransparente, recebemos 1.047 \ndenúncias na Ouvidoria, sendo 50% \nrelacionadas ao Código de Ética \n- todas rigorosamente apuradas. \nCom o caso “Globo e a sua jornada \nde conscientização e criação da \ncultura da privacidade” , conquistamos \no 2º lugar no prêmio SERPRO, que \nreconhece iniciativas de impacto em \nprivacidade e proteção de dados \npessoais. E, para garantir a proteção \nde propriedade intelectual, elaboramos \num plano estratégico de Segurança da \nInformação que prevê o investimento de']","Em novembro, a Globo se tornou embaixadora do Movimento Manifesto Globo Educa 2030, do Pacto Global, assumindo protagonismo no movimento de liderar uma ação coletiva em prol da educação.",single_hop_specifc_query_synthesizer
Qual é o investimento previsto para a segurança da informação no triênio 2023-2025?,"['privacidade e proteção de dados \npessoais. E, para garantir a proteção \nde propriedade intelectual, elaboramos \num plano estratégico de Segurança da \nInformação que prevê o investimento de \n211 milhões de reais no triênio 2023-2025. \nSabemos que temos um longo caminho \npela frente. A jornada ESG da Globo tem a \nambição maior de mostrar que é possível \nser sustentável e responsável, sem abrir \nmão de uma administração orientada \npara o negócio. É a nossa contribuição \npara o futuro do país. Um dia de cada vez. \nFazendo diferença todo dia.\n5\nRelatório ESG 2023\nDestaques Sobre  \neste relatório Indicadores #1 Impacto social  \n  do conteúdo\n #2 Diversidade  \n  & inclusão\n #4 Biodiversidade &  \n  consciência ambiental\n #5  Governança transparente  \n  & responsável\n #6 Educação como vetor  \n  de transformação do paísGovernança ESGPrazer , somos  \na Globo\nManifesto \nGlobo\n #3 Desenvolvimento & bem \n - estar dos colaboradores\nem validação']",O investimento previsto para a segurança da informação no triênio 2023-2025 é de 211 milhões de reais.,single_hop_specifc_query_synthesizer
